Date,Close/Last,Volume,Open,High,Low
12/30/2020,$1739.52,1306130,$1762.01,$1765.095,$1725.6
12/29/2020,$1758.72,1299395,$1787.79,$1792.44,$1756.09
12/28/2020,$1776.09,1393033,$1751.635,$1790.7276,$1746.335
12/24/2020,$1738.85,346753,$1735,$1746,$1729.11
12/23/2020,$1732.38,1033917,$1728.11,$1747.99,$1725.04
12/22/2020,$1723.5,938346,$1734.43,$1737.405,$1712.575
12/21/2020,$1739.37,1828378,$1713.51,$1740.85,$1699
12/18/2020,$1731.01,4016353,$1754.18,$1755.11,$1720.22
12/17/2020,$1747.9,1624744,$1768.51,$1771.7836,$1738.66
12/16/2020,$1763,1513543,$1772.88,$1773,$1756.08
12/15/2020,$1767.77,1482261,$1764.42,$1771.42,$1749.95
12/14/2020,$1760.06,1600173,$1775,$1797.39,$1757.215
12/11/2020,$1781.77,1220651,$1763.06,$1784.45,$1760
12/10/2020,$1775.33,1362848,$1769.8,$1781.31,$1740.32
12/09/2020,$1784.13,1507558,$1812.01,$1834.27,$1767.81
12/08/2020,$1818.55,1096319,$1810.1,$1821.9,$1796.2047
12/07/2020,$1819.48,1320946,$1819,$1832.37,$1805.78
12/04/2020,$1827.99,1378166,$1824.52,$1833.16,$1816.99
12/03/2020,$1826.77,1227298,$1824.01,$1847.2,$1822.65
12/02/2020,$1827.95,1222032,$1798.1,$1835.65,$1789.4725
12/01/2020,$1798.1,1739045,$1774.37,$1824.83,$1769.37
11/30/2020,$1760.74,1823836,$1781.184,$1788.065,$1755
11/27/2020,$1793.19,884916,$1773.09,$1804,$1772.44
11/25/2020,$1771.43,1046122,$1772.89,$1778.54,$1756.54
11/24/2020,$1768.88,1579703,$1730.5,$1771.6,$1727.69
11/23/2020,$1734.86,2161975,$1749.6,$1753.9,$1717.72
11/20/2020,$1742.19,2313655,$1765.21,$1774,$1741.86
11/19/2020,$1763.92,1249910,$1738.38,$1769.5897,$1737.005
11/18/2020,$1746.78,1173466,$1765.23,$1773.47,$1746.14
11/17/2020,$1770.15,1147114,$1776.94,$1785,$1767
11/16/2020,$1781.38,1246785,$1771.7,$1799.07,$1767.69
11/13/2020,$1777.02,1500574,$1757.63,$1781.04,$1744.55
11/12/2020,$1749.84,1248754,$1747.63,$1768.27,$1745.6
11/11/2020,$1752.71,1263966,$1750,$1764.22,$1747.365
11/10/2020,$1740.39,2636142,$1731.09,$1763,$1717.3
11/09/2020,$1763,2268270,$1790.9,$1818.06,$1760.02
11/06/2020,$1761.75,1661225,$1753.95,$1772.43,$1740.35
11/05/2020,$1763.37,2065812,$1781,$1793.64,$1750.51
11/04/2020,$1749.13,3570927,$1710.28,$1771.365,$1706.0301
11/03/2020,$1650.21,1661653,$1631.78,$1661.7,$1616.6201
11/02/2020,$1626.03,2535446,$1628.16,$1660.77,$1616.03
10/30/2020,$1621.01,4330862,$1672.11,$1687,$1604.46
10/29/2020,$1567.24,2003064,$1522.36,$1593.71,$1522.24
10/28/2020,$1516.62,1833959,$1559.74,$1561.35,$1514.62
10/27/2020,$1604.26,1229002,$1595.67,$1606.845,$1582.78
10/26/2020,$1590.45,1853254,$1625.01,$1638.24,$1576.5
10/23/2020,$1641,1375844,$1626.07,$1642.36,$1620.51
10/22/2020,$1615.33,1434042,$1593.05,$1621.99,$1585
10/21/2020,$1593.31,2568345,$1573.33,$1618.73,$1571.6301
10/20/2020,$1555.93,2242572,$1527.05,$1577.5,$1525.67
10/19/2020,$1534.61,1607075,$1580.46,$1588.15,$1528
10/16/2020,$1573.01,1435137,$1565.85,$1581.13,$1563
10/15/2020,$1559.13,1540817,$1547.15,$1575.105,$1545.03
10/14/2020,$1568.08,1930990,$1578.59,$1587.6841,$1550.53
10/13/2020,$1571.68,1601043,$1583.73,$1590,$1563.2
10/12/2020,$1569.15,2482560,$1543,$1593.86,$1532.57
10/09/2020,$1515.22,1435542,$1494.7,$1516.52,$1489.45
10/08/2020,$1485.93,1187831,$1465.09,$1490,$1465.09
10/07/2020,$1460.29,1746156,$1464.29,$1468.96,$1436
10/06/2020,$1453.44,1245423,$1475.58,$1486.76,$1448.5901
10/05/2020,$1486.02,1113257,$1466.21,$1488.21,$1464.27
10/02/2020,$1458.42,1284071,$1462.03,$1483.2,$1450.92
10/01/2020,$1490.09,1779497,$1484.27,$1499.04,$1479.21
09/30/2020,$1469.6,1701608,$1466.8,$1489.75,$1459.88
09/29/2020,$1469.33,979102,$1470.39,$1476.6632,$1458.805
09/28/2020,$1464.52,2007941,$1474.21,$1476.8,$1449.3012
09/25/2020,$1444.96,1323375,$1432.63,$1450,$1413.34
09/24/2020,$1428.29,1450216,$1411.03,$1443.7088,$1409.85
09/23/2020,$1415.21,1657350,$1458.78,$1460.96,$1407.7
09/22/2020,$1465.46,1583201,$1450.09,$1469.52,$1434.53
09/21/2020,$1431.16,2888827,$1440.06,$1448.36,$1406.55
09/18/2020,$1459.99,3103882,$1498.01,$1503.0032,$1437.13
09/17/2020,$1495.53,1879751,$1496,$1508.2984,$1470.0001
09/16/2020,$1520.9,1312299,$1555.54,$1562,$1519.82
09/15/2020,$1541.44,1331082,$1536,$1559.57,$1531.835
09/14/2020,$1519.28,1696589,$1539.005,$1563.9999,$1515.74
09/11/2020,$1520.72,1597087,$1536,$1575.2,$1497.36
09/10/2020,$1532.02,1618557,$1560.64,$1584.081,$1525.805
09/09/2020,$1556.96,1774704,$1557.53,$1569,$1536.0511
09/08/2020,$1532.39,2610884,$1533.51,$1563.865,$1528.01
09/04/2020,$1591.04,2608568,$1624.26,$1645.11,$1547.6125
09/03/2020,$1641.84,3107763,$1709.7143,$1709.7143,$1615.06
09/02/2020,$1728.28,2511180,$1673.7754,$1733.1799,$1666.3301
09/01/2020,$1660.71,1826655,$1636.63,$1665.73,$1632.22
08/31/2020,$1634.18,1823406,$1647.89,$1647.965,$1630.31
08/28/2020,$1644.41,1499782,$1633.49,$1647.1699,$1630.75
08/27/2020,$1634.33,1861602,$1653.68,$1655,$1625.75
08/26/2020,$1652.38,3581072,$1608,$1659.22,$1603.6
08/25/2020,$1608.22,2132084,$1582.07,$1611.62,$1582.07
08/24/2020,$1588.2,1410229,$1593.98,$1614.17,$1580.57
08/21/2020,$1580.42,1446453,$1577.03,$1597.72,$1568.005
08/20/2020,$1581.75,1706877,$1543.45,$1585.87,$1538.2
08/19/2020,$1547.53,1660611,$1553.31,$1573.68,$1543.95
08/18/2020,$1558.6,2027086,$1526.18,$1562.47,$1523.71
08/17/2020,$1517.98,1378600,$1514.67,$1525.61,$1507.97
08/14/2020,$1507.73,1355200,$1515.66,$1521.9,$1502.88
08/13/2020,$1518.45,1455208,$1510.34,$1537.25,$1508.005
08/12/2020,$1506.62,1437655,$1485.58,$1512.3859,$1485.25
08/11/2020,$1480.32,1454365,$1492.44,$1510,$1478
08/10/2020,$1496.1,1289530,$1487.18,$1504.075,$1473.08
08/07/2020,$1494.49,1577826,$1500,$1516.845,$1481.64
08/06/2020,$1500.1,1995368,$1471.75,$1502.39,$1466
08/05/2020,$1473.61,1979957,$1469.3,$1482.41,$1463.46
08/04/2020,$1464.97,1903489,$1476.57,$1485.56,$1458.65
08/03/2020,$1474.45,2331514,$1486.64,$1490.47,$1465.64
07/31/2020,$1482.96,3429036,$1505.01,$1508.95,$1454.03
07/30/2020,$1531.45,1671396,$1497,$1537.87,$1492.22
07/29/2020,$1522.02,1106534,$1506.32,$1531.2522,$1501.33
07/28/2020,$1500.34,1702174,$1525.18,$1526.48,$1497.66
07/27/2020,$1530.2,1245980,$1515.6,$1540.97,$1515.21
07/24/2020,$1511.87,1544404,$1498.93,$1517.6362,$1488.4
07/23/2020,$1515.68,1627634,$1566.97,$1571.87,$1507.3918
07/22/2020,$1568.49,931985,$1560.5,$1570,$1546.1
07/21/2020,$1558.42,1218645,$1586.99,$1586.99,$1554.28
07/20/2020,$1565.72,1557252,$1515.26,$1570.29,$1503.6
07/17/2020,$1515.55,1457010,$1521.62,$1523.44,$1498.42
07/16/2020,$1518,1519345,$1500,$1518.69,$1486.31
07/15/2020,$1513.64,1610684,$1523.13,$1535.33,$1498
07/14/2020,$1520.58,1585016,$1490.31,$1522.95,$1483.5
07/13/2020,$1511.34,1846424,$1550,$1577.1316,$1505.2427
07/10/2020,$1541.74,1856704,$1506.15,$1543.83,$1496.54
07/09/2020,$1510.99,1423322,$1506.45,$1522.72,$1488.085
07/08/2020,$1496,1249658,$1494.32,$1505.8799,$1485.63
07/07/2020,$1485.18,1458172,$1490,$1516.8,$1483.55
07/06/2020,$1495.7,1563997,$1480.06,$1506.59,$1472.86
